Patch_ID,Patch_Name,Patch_Style,Patch_Order,Hex_Q,Hex_R,Saplings_Planted,Trees_Grown,Patch_Description,Date_Created,Last_Updated
P001,Machine Learning,05,1,0,0,2,3,Learning AI fundamentals,2026-07-16,2026-07-18
P002,Data Engineering,02,2,0,-1,1,4,Building data pipelines,2026-07-16,2026-07-16
P003,Computer Vision,06,3,1,-1,3,2,Vision algorithms,2026-07-16,2026-07-18
P004,MLOps,04,4,1,0,2,2,Deployment and monitoring,2026-07-16,2026-07-16
P005,Statistics,05,5,0,1,4,1,Probability and inference,2026-07-16,2026-07-16
P006,Deep Learning,06,6,-1,1,3,3,Neural networks,2026-07-16,2026-07-16
P007,SQL,07,7,-1,0,2,3,Database systems,2026-07-16,2026-07-16
P008,Test Patch,09,8,0,-2,0,0,Trial definition,2026-07-18,2026-07-18
P009,Trial 2,02,9,1,-2,0,0,Test,2026-07-18,2026-07-18
P010,Trial 3,06,10,2,-2,0,0,,2026-07-18,2026-07-18
P011,"Defying, Gravity",09,11,2,-1,0,0,Testing duplicates,2026-07-18,2026-07-18
P012,Trial*,01,12,2,0,0,0,,2026-07-18,2026-07-18
P013,Test `,01,13,1,1,0,0,,2026-07-18,2026-07-18
P014,Another one,03,14,0,2,0,0,,2026-07-18,2026-07-18
P015,Patch another,05,15,-1,2,0,0,,2026-07-18,2026-07-18
